Player,YRS,is_retained,year,Cap_Pct
lamarcus aldridge,1,1,2021,0.0148
jock landale,2,0,2021,0.0081999999999999
kent bazemore,1,0,2021,0.0148
andre drummond,1,0,2021,0.0148
austin rivers,1,1,2021,0.0148
victor oladipo,1,1,2021,0.0148
tony snell,1,0,2021,0.0148
otto porter,1,0,2021,0.0148
ben mclemore,1,0,2021,0.0148
dewayne dedmon,1,1,2021,0.0148
rodney hood,1,0,2021,0.0148
elfrid payton,1,0,2021,0.0148
nemanja bjelica,1,0,2021,0.0148
stanley johnson,1,0,2021,0.0079
raul neto,1,1,2021,0.0148
timothe luwawucabarrot,1,0,2021,0.0148
malik monk,1,0,2021,0.0148
ryan arcidiacono,1,0,2021,0.0049
luke kornet,1,1,2021,0.005
isaac bonga,1,0,2021,0.0148
juwan morgan,1,0,2021,0.0002
garrison mathews,1,0,2021,0.0178
armoni brooks,1,1,2021,0.0022
amir coffey,1,1,2021,0.0014
caleb martin,1,0,2021,0.0046999999999999
killian tillie,1,1,2021,0.0169
trent forrest,1,1,2021,0.0001
rayjon tucker,1,1,2021,0.0003
bradley beal,5,1,2022,0.35
zach lavine,5,1,2022,0.3
deandre ayton,4,1,2022,0.25
jalen brunson,4,0,2022,0.2243
anfernee simons,4,1,2022,0.1805
luguentz dort,5,1,2022,0.1235999999999999
collin sexton,4,0,2022,0.1334
jusuf nurkic,4,1,2022,0.1264
james harden,2,1,2022,0.2669
mitchell robinson,4,1,2022,0.1378
bobby portis,4,1,2022,0.0877
marvin bagley,3,1,2022,0.1011
chris boucher,3,1,2022,0.1026
pj tucker,3,0,2022,0.0848
cody martin,4,1,2022,0.0566
tyus jones,2,1,2022,0.1213
gary payton,3,0,2022,0.0670999999999999
nicolas batum,2,1,2022,0.0877
kevon looney,3,1,2022,0.0566
jaesean tate,3,1,2022,0.0571
mohamed bamba,2,1,2022,0.0833
caleb martin,3,1,2022,0.0524
malik monk,2,0,2022,0.0766
ricky rubio,3,0,2022,0.0473
victor oladipo,2,1,2022,0.0708
kyle anderson,2,0,2022,0.071
nic claxton,2,1,2022,0.0756
javale mcgee,3,0,2022,0.0441999999999999
delon wright,2,0,2022,0.0630999999999999
isaiah hartenstein,2,0,2022,0.0716
jalen smith,3,1,2022,0.0378
danilo gallinari,2,0,2022,0.0524
bruce brown,2,0,2022,0.0524
patty mills,2,1,2022,0.0524
otto porter,2,0,2022,0.0484999999999999
donte divincenzo,2,0,2022,0.0364
dewayne dedmon,2,1,2022,0.0046999999999999
danuel house,2,0,2022,0.0332
mike muscala,2,1,2022,0.0283
vlatko cancar,3,1,2022,0.0181
derrick jones,2,1,2022,0.0259
andre drummond,2,0,2022,0.0259
joe ingles,1,0,2022,0.0524
lonnie walker,1,0,2022,0.0524
kevin knox,2,0,2022,0.0243
jordan nwora,2,1,2022,0.0226
jericho sims,3,1,2022,0.0132
sam hauser,3,1,2022,0.0132
montrezl harrell,2,0,2022,0.0199
damian jones,2,0,2022,0.0186
luke kornet,2,1,2022,0.0173
bol bol,2,1,2022,0.0178
joe wieskamp,2,1,2022,0.0044
jevon carter,2,1,2022,0.017
anthony gill,2,1,2022,0.0148
nathan knight,2,1,2022,0.0148
justin champagnie,2,1,2022,0.0002
kessler edwards,2,1,2022,0.0132
blake griffin,1,0,2022,0.0148
austin rivers,1,0,2022,0.0148
taj gibson,1,0,2022,0.0148
robin lopez,1,0,2022,0.0148
andre iguodala,1,1,2022,0.0148
udonis haslem,1,1,2022,0.0148
wesley matthews,1,1,2022,0.0148
bismack biyombo,1,1,2022,0.0148
goran dragic,1,0,2022,0.0032
deandre jordan,1,0,2022,0.0148
gorgui dieng,1,0,2022,0.005
dennis schröder,1,0,2022,0.0148
tj warren,1,0,2022,0.0148
jamychal green,1,0,2022,0.0148
matthew dellavedova,1,0,2022,0.0148
raul neto,1,0,2022,0.0148
frank kaminsky,1,0,2022,0.0148
rodney mcgruder,1,1,2022,0.0148
thomas bryant,1,0,2022,0.0148
damion lee,1,0,2022,0.0148
troy brown,1,0,2022,0.0148
aaron holiday,1,0,2022,0.0148
josh okogie,1,0,2022,0.0148
yuta watanabe,1,0,2022,0.0148
theo pinson,1,1,2022,0.0148
drew eubanks,1,1,2022,0.0148
juan toscanoanderson,1,0,2022,0.0148
anthony lamb,1,0,2022,0.002
bruno fernando,1,1,2022,0.022
