Player,year,MIN_PER_GAME,ATTENDANCE_RATE,MAJOR_INJURY
shawne williams,2011,20.673515625,0.780487805,0
shelden williams,2011,15.429971750847457,0.719512195,0
sherron collins,2011,3.2940833335,0.243902439,0
solomon alabi,2011,4.9174999999999995,0.146341463,0
solomon jones,2011,13.542991453846156,0.475609756,0
sonny weems,2011,23.952344627118645,0.719512195,0
spencer hawes,2011,21.213436209876544,0.987804878,0
stephen curry,2011,33.63504504054054,0.902439024,0
stephen graham,2011,16.24497175084746,0.719512195,0
stephen jackson,2011,35.888084582089554,0.817073171,0
steve blake,2011,20.01571730379747,0.963414634,0
steve nash,2011,33.29037777333333,0.914634146,0
steve novak,2011,7.16788889,0.365853659,0
sundiata gaines,2011,12.524583333333332,0.292682927,0
tj ford,2011,18.856747968292684,0.5,0
taj gibson,2011,21.7780833375,0.975609756,0
tayshaun prince,2011,32.840598294871796,0.951219512,0
terrence williams,2011,13.811190476190477,0.256097561,0
thabo sefolosha,2011,25.939345987341774,0.963414634,0
thaddeus young,2011,26.0345935,1.0,0
theo ratliff,2011,7.050166667000001,0.12195122,0
tiago splitter,2011,12.300749999999999,0.731707317,0
tim duncan,2011,28.371293855263154,0.926829268,0
timofey mozgov,2011,11.646555555555556,0.548780488,0
toney douglas,2011,24.33425925925926,0.987804878,0
tony allen,2011,20.75486111111111,0.87804878,0
tony battie,2011,9.920833334210526,0.463414634,0
tony parker,2011,32.405876064102564,0.951219512,0
tracy mcgrady,2011,23.409768513888892,0.87804878,0
travis outlaw,2011,28.75237804878049,1.0,0
trevor ariza,2011,34.66464444,0.914634146,0
trevor booker,2011,16.355256415384613,0.792682927,0
trey johnson,2011,11.79583333375,0.097560976,0
troy murphy,2011,13.31161904857143,0.426829268,0
ty lawson,2011,26.2825,0.975609756,0
tyler hansbrough,2011,21.93435714285714,0.853658537,0
tyreke evans,2011,36.96590643859649,0.695121951,0
tyrus thomas,2011,21.001747968292683,0.5,0
tyson chandler,2011,27.81772522972973,0.902439024,0
udonis haslem,2011,26.5324359,0.158536585,1
vince carter,2011,28.103584479452053,0.890243902,0
vladimir radmanovic,2011,15.799752256756758,0.902439024,0
von wafer,2011,9.526637931034482,0.707317073,0
wayne ellington,2011,19.052338709677418,0.756097561,0
wesley johnson,2011,26.194556962025317,0.963414634,0
wesley matthews,2011,33.63894308536585,1.0,0
will bynum,2011,18.445847,0.743902439,0
willie green,2011,21.739090909090912,0.93902439,0
willie warren,2011,7.042192984210526,0.231707317,0
wilson chandler,2011,33.339120375,0.87804878,0
xavier henry,2011,13.87978070263158,0.463414634,0
yao ming,2011,18.103666666000002,0.06097561,0
yi jianlian,2011,17.648174603174603,0.768292683,0
zabian dowdell,2011,12.154097220833334,0.292682927,0
zach randolph,2011,36.314111106666665,0.914634146,0
zaza pachulia,2011,15.744071734177215,0.963414634,0
zydrunas ilgauskas,2011,15.907685180555555,0.87804878,0
aj price,2012,12.909772727272726,0.536585366,0
aaron gray,2012,16.584863944897958,0.597560976,0
al harrington,2012,27.515390625,0.780487805,0
al horford,2012,31.634848481818185,0.134146341,1
al jefferson,2012,34.01573770491803,0.743902439,0
