Player,player_height,player_weight,year
william cunningham,210.82,113.398,Undrafted
will perdue,213.36,108.86208,1988
wesley person,198.12,88.45044,1994
walter mccarty,208.28,104.32616,1996
walt williams,203.2,104.32616,1992
voshon lenard,193.04,92.98636,1994
vlade divac,215.9,117.93392,1989
vitaly potapenko,208.28,127.00576,1996
vinny del negro,193.04,90.7184,1988
vincent askew,198.12,95.25432,1987
vin baker,210.82,113.398,1993
vernon maxwell,193.04,81.64656,1988
tyus edney,177.8,68.945984,1995
tyrone hill,205.74,113.398,1990
tyrone corbin,198.12,102.0582,1985
theo ratliff,208.28,102.0582,1995
terry porter,190.5,88.45044,1985
terry mills,208.28,113.398,1990
terry dehere,193.04,86.18248,1993
keith booth,198.12,102.511792,1997
sean elliott,203.2,92.98636,1989
scottie pippen,200.66,103.418976,1987
scott williams,208.28,104.32616,Undrafted
scott burrell,200.66,98.883056,1993
scott brooks,180.34,74.84268,Undrafted
scot pollard,210.82,120.20188,1997
samaki walker,205.74,108.86208,1996
sam perkins,205.74,117.93392,1984
sam mitchell,200.66,97.52228,1985
sam mack,200.66,99.79024,Undrafted
sam cassell,190.5,83.91452,1993
rusty larue,190.5,83.91452,Undrafted
roy rogers,208.28,106.59412,1996
rony seikaly,210.82,114.758776,1988
ron mercer,200.66,95.25432,1997
ron harper,198.12,97.975872,1986
rodrick rhodes,198.12,102.0582,1997
rodney rogers,200.66,115.66596,1993
rod strickland,190.5,83.91452,1988
robert pack,187.96,86.18248,Undrafted
sean rooks,208.28,117.93392,1992
rik smits,223.52,120.20188,1988
shandon anderson,198.12,95.25432,1996
shareef abdurrahim,205.74,104.32616,1996
terry davis,208.28,113.398,Undrafted
terry cummings,205.74,113.398,1982
terrell brandon,180.34,78.471416,1991
tariq abdulwahad,198.12,101.151016,1997
stojko vrankovic,218.44,117.93392,Undrafted
steven smith,203.2,100.243832,1991
steve nash,190.5,88.45044,1996
steve kerr,190.5,82.10015200000001,1988
steve henson,185.42,81.64656,1990
stephon marbury,187.96,81.64656,1996
stephen howard,205.74,102.0582,Undrafted
stanley roberts,213.36,131.54168,1991
stacey augmon,203.2,92.98636,1991
spud webb,167.64,60.327736,1985
sherman douglas,185.42,88.45044,1989
shea seals,195.58,95.25432,Undrafted
shawnelle scott,210.82,113.398,1994
shawn respert,187.96,88.45044,1995
shawn kemp,208.28,116.119552,1989
shawn bradley,228.6,112.490816,1993
sharone wright,210.82,117.93392,1994
shaquille oneal,215.9,142.88148,1992
keith askins,203.2,101.604608,Undrafted
christian laettner,210.82,111.13004,1992
karl malone,205.74,116.119552,1985
adam keefe,205.74,104.32616,1992
adonal foyle,208.28,113.398,1997
adrian caldwell,203.2,120.20188,Undrafted
alan henderson,205.74,106.59412,1995
allan houston,198.12,90.7184,1993
allen iverson,182.88,74.84268,1996
alonzo mourning,208.28,118.38751200000002,1992
alton lister,213.36,111.13004,1981
alvin williams,195.58,83.91452,1997
andrew declercq,208.28,104.32616,1995
andrew lang,210.82,122.46984,1988
anfernee hardaway,200.66,97.52228,1993
aaron williams,205.74,102.0582,Undrafted
anthony bowie,198.12,90.7184,1986
anthony johnson,190.5,86.18248,1997
anthony mason,203.2,113.398,1988
anthony miller,205.74,115.66596,1994
anthony parker,198.12,97.52228,1997
anthony peeler,193.04,94.347136,1992
antoine carr,205.74,122.46984,1983
antoine walker,205.74,111.13004,1996
antonio daniels,193.04,88.45044,1997
antonio davis,205.74,104.32616,1990
antonio lang,203.2,92.98636,1994
antonio mcdyess,205.74,99.79024,1995
armen gilliam,205.74,117.93392,1987
anthony goldwire,187.96,82.553744,1994
aaron mckie,195.58,94.800728,1994
ac green,205.74,102.0582,1985
chucky brown,203.2,97.52228,1989
dejuan wheat,182.88,74.84268,1997
david wingate,195.58,83.91452,1986
david wesley,185.42,91.625584,Undrafted
david vaughn,205.74,108.86208,1995
david robinson,215.9,113.398,1987
david benoit,203.2,99.79024,Undrafted
darvin ham,200.66,104.32616,Undrafted
darrick martin,180.34,77.11064,Undrafted
darrell armstrong,185.42,81.64656,Undrafted
danny manning,208.28,106.140528,1988
danny fortson,200.66,117.93392,1997
danny ferry,208.28,106.59412,1989
dana barros,180.34,73.935496,1989
dan schayes,210.82,117.93392,1981
chris whitney,182.88,77.11064,1993
dan majerle,198.12,99.79024,1988
damon stoudamire,177.8,77.56423199999999,1995
dale ellis,200.66,97.52228,1983
dale davis,210.82,104.32616,1991
cory alexander,185.42,86.18248,1995
corliss williamson,200.66,111.13004,1995
corie blount,208.28,109.769264,1993
corey beck,190.5,90.7184,Undrafted
clyde drexler,200.66,100.697424,1983
clifford rozier,210.82,111.13004,1994
clifford robinson,208.28,102.0582,1989
clar weatherspoon,200.66,108.86208,1992
arvydas sabonis,220.98,132.448864,1986
dean garrett,210.82,113.398,1988
austin croshere,205.74,106.59412,1997
bj armstrong,187.96,83.91452,1989
chauncey billups,190.5,91.625584,1997
charlie ward,187.96,86.18248,1994
charles smith,193.04,87.996848,1997
charles oakley,205.74,111.13004,1985
charles obannon,195.58,94.800728,1997
charles barkley,198.12,114.305184,1984
cedric henderson,200.66,97.52228,1997
cedric ceballos,200.66,99.79024,1990
carlos rogers,210.82,99.79024,1994
carl thomas,193.04,88.45044,Undrafted
carl herrera,205.74,102.0582,1990
calbert cheaney,200.66,97.52228,1993
cherokee parks,210.82,108.86208,1995
buck williams,203.2,102.0582,1981
bryon russell,200.66,102.0582,1993
bryant stith,195.58,94.347136,1992
bryant reeves,213.36,124.7378,1995
bruce bowen,200.66,90.7184,Undrafted
brooks thompson,193.04,87.543256,1994
brian shaw,198.12,90.7184,1988
brian oliver,193.04,95.25432,1990
brian grant,205.74,115.212368,1994
brian evans,203.2,99.79024,1996
brevin knight,177.8,78.471416,1997
brent price,185.42,83.91452,1992
kebu stewart,203.2,108.408488,1997
bubba wells,195.58,104.32616,1997
chris anstey,213.36,112.944408,1997
chris carr,198.12,99.79024,1995
chris childs,190.5,88.45044,Undrafted
ben davis,205.74,108.86208,1996
ben wallace,205.74,108.86208,Undrafted
benoit benjamin,213.36,120.20188,1985
bill curley,205.74,111.13004,1994
bill wennington,213.36,125.644984,1985
billy owens,205.74,102.0582,1991
bimbo coles,187.96,82.553744,1990
bison dele,210.82,117.93392,1991
blue edwards,193.04,103.872568,1989
bo outlaw,203.2,95.25432,Undrafted
bob mccann,198.12,110.676448,1987
bob sura,195.58,90.7184,1995
bobby hurley,182.88,74.84268,1993
